Bisch,Quelle_Inst,function,activity,Zeitraum,Institution,spezifische Institution,SOFISwiki_Inst/Projekt,SOFISwiki_instID/Projekt-ID
"Fortin-Rittberger, Jessica",linkedin,Senior Research Associate,Erfahrung,2009/05-2013/09,GESIS - Leibniz-Institut für Sozialwissenschaften,n,GESIS - Leibniz-Institut für Sozialwissenschaften (Mannheim),10581
"Fortin-Rittberger, Jessica",Universität Salzburg,Senior Researcher,n,2009-2013,GESIS-Leibniz Institut für Sozialwissenschaften in Mannheim,n,GESIS - Leibniz-Institut für Sozialwissenschaften (Mannheim),10581
"Fortin-Rittberger, Jessica",http://jessica-fortin.weebly.com/about.html,Senior Research Associate,Previous positions,n,GESIS - Leibniz-Institut für Sozialwissenschaften,The Comparative Study of Electoral Systems (CSES),GESIS - Leibniz-Institut für Sozialwissenschaften (Mannheim),10581
"Fortin-Rittberger, Jessica",linkedin,Post-doctoral Research Fellow,Erfahrung,2008/04-2009/04,Leuphana Universität Lüneburg,n,Leuphana Universität Lüneburg (Lüneburg),1535
"Fortin-Rittberger, Jessica",Universität Salzburg,Postdoc-Stipendium ,n,n,Universität Lüneburg,n,Leuphana Universität Lüneburg (Lüneburg),1535
"Fortin-Rittberger, Jessica",linkedin,Ausbildung,"Ph.D., Political Science",2001-2008,McGill University,n,McGill University Montreal (Montreal),14641
"Fortin-Rittberger, Jessica",Universität Salzburg,Promotion,n,2008,McGill University,n,McGill University Montreal (Montreal),14641
"Fortin-Rittberger, Jessica",http://jessica-fortin.weebly.com/about.html,Education,Ph.D. ,2008,McGill University,Department of Political Science,McGill University Montreal (Montreal),14641
"Fortin-Rittberger, Jessica",linkedin,Ausbildung,"M.Sc., Political Science",1999-2001,Universität Montreal,n,n,n
"Fortin-Rittberger, Jessica",http://jessica-fortin.weebly.com/about.html,Education,B.Sc.,1999,Universität Montreal,Department of Political Science,n,n
"Fortin-Rittberger, Jessica",http://jessica-fortin.weebly.com/about.html,Education,M.Sc. ,2001,Universität Montreal,Department of Political Science,n,n
"Fortin-Rittberger, Jessica",linkedin,Chair fo Comparative Government (visiting),Erfahrung,2010/09-2011/08,Universität Mannheim,n,Universität Mannheim (Mannheim),3337
"Fortin-Rittberger, Jessica",Universität Salzburg,Lehrstuhlvertretung,n,2010-2011,Universität Mannheim,Lehrstuhl für Vergleichende Regierungslehre,Universität Mannheim (Mannheim),3337
"Fortin-Rittberger, Jessica",http://jessica-fortin.weebly.com/about.html,Chair fo Comparative Government (visiting),Previous positions,2010/09 - 2011/12,Universität Mannheim,Lehrstuhl für Politische Wissenschaft III (Comparative Government),Universität Mannheim (Mannheim),3337
"Fortin-Rittberger, Jessica",Scopus,n,n,n,Universität Salzburg,Department of Political Science,Universität Salzburg (Salzburg),3346
"Fortin-Rittberger, Jessica",linkedin,Professor,Erfahrung,2013-,Universität Salzburg,Comparative Politics,Universität Salzburg (Salzburg),3346
"Fortin-Rittberger, Jessica",Universität Salzburg,Professorin,Vergleichende Politikwissenschaft,n,Universität Salzburg,Fachbereich für Poliltikwissenschaft und Soziologie,Universität Salzburg (Salzburg),3346
"Fortin-Rittberger, Jessica",http://jessica-fortin.weebly.com/about.html,Professor of Comparative Politics,Current position,2013/10-,Universität Salzburg,n,Universität Salzburg (Salzburg),3346
"Hank, Karsten",ISS Uni Köln,Doctoral Student,Dr. rer. pol.,1999/1-2002/4,"Max Planck Institute for Demographic Research, Rostock",n,Max-Planck-Institut für demografische Forschung (Rostock),19885
"Hank, Karsten",ISS Uni Köln,Research Scientist,,2002/2-2003/2,"Max Planck Institute for Demographic Research, Rostock",n,Max-Planck-Institut für demografische Forschung (Rostock),19885
"Hank, Karsten",ISS Uni Köln,Studium,,1998,Ruhr-Universität Bochum,n,Ruhr-Universität Bochum (Bochum),3301
"Hank, Karsten",ISS Uni Köln,"Head of the Research Unit ‘Survey of Health, Ageing and Retirement in Europe'",,2003/2-2010/3,Universität Mannheim,"Mannheim Research Institute for the Economics of Aging (MEA), University of Mannheim",Universität Mannheim (Mannheim),3337
"Hank, Karsten",ISS Uni Köln,Full Professor (W3) of Sociology at the Institute of Sociology & Social Psychology,,2010/4- ,Universität zu Köln,Wirtschafts- und Sozialwissenschaftliche Fakultät,Wirtschafts- und Sozialwissenschaftliche Fakultät (Köln),9329
"Hank, Karsten",ISS Uni Köln,Research Assistant,,1998/6-1998/12,"Ruhr-Universität Bochum,","Center for Interdisciplinary Research on the Ruhr District (ZEFIR),",Zentrum für interdisziplinäre Regionalforschung -ZEFIR- (Bochum),71593
"Hill, Paul B.",RWTH Aachen,Studium,Diplom Sozialwissenschaften,1974-1980,RWTH Aachen,Lehrstuhl und Institut für Soziologie,Institut für Soziologie Lehrstuhl Allgemeine Soziologie (Aachen),30881
"Hill, Paul B.",RWTH Aachen,Promotion,Promotion,1984,n,n,n,n
"Hill, Paul B.",RWTH Aachen,Wissenschaftlicher Mitarbeiter,Wissenschaftlicher Mitarbeiter,1980-1990,"Universitäten Essen, Duisburg, Koeln",n,n,n
"Hill, Paul B.",RWTH Aachen,Berufung zum Universitätsprofessor,Universitätsprofessor,1997,n,n,n,n
"Hill, Paul B.",RWTH Aachen,1. Stellvertretender Vorsitzender der ASI - Arbeitsgemeinschaft Sozialwissenschaftlicher Institute e.V. ,1. Stellvertretender Vorsitzender der ASI ,2005/10-2017/05,n,n,n,n
"Hill, Paul B.",RWTH Aachen,"Mitglied in Komitee 260 beim Austrian Standards Institute: Spiegelkomitee innerhalb des ISO/TC 225: Market, Opinion and Social Research",Mitglied in Komitee 260,2009/01-2017/05,n,Austrian Standards Institute,n,n
"Hill, Paul B.",RWTH Aachen,"Mitglied im Beschwerderat (zweite Kammer) des Rates der Deutschen Markt- und Sozialforschung (2. KAmmer)
",Mitglied im Beschwerderat (zweite Kammer) des Rates der Deutschen Markt- und Sozialforschung,2009/01-2017/05,n,n,n,n
"Hill, Paul B.",RWTH Aachen,"Vorsitzender des Kuratoriums der GESIS - Leibniz-Institut für Sozialwissenschaften

",Vorsitzender des Kuratoriums der GESIS - Leibniz-Institut für Sozialwissenschaften,2013/07-2017/05,n,n,n,n
"Hill, Paul B.",Wikipedia ,Studium,"Soziologie, Wirtschaftwissenschaften, Psychologie",n,n,n,n,n
"Hill, Paul B.",WIkipedia,Dissertation,Dissertation,1984,n,n,n,n
"Hill, Paul B.",Wikipedia,Wissenschaftlicher Mitarbeiter,Wissenschaftlicher Mitarbeiter,1980-1990,"Universitäten Essen, Duisburg, Köln",Soziologie,n,n
"Hill, Paul B.",Wikipedia,1. stellvertretender Vorsitzender der Arbeitsgemeinschaft Sozialwissenschaftlicher Institute e.V. (ASI),1. stellvertretender Vorsitzender der Arbeitsgemeinschaft Sozialwissenschaftlicher Institute e.V. (ASI),2005/10-2017/05,n,n,n,n
"Hill, Paul B.",Wikipedia,Mitglied in Komitee 260 beim Austrian Standards Institute,Mitglied in Komitee 260 beim Austrian Standards Institute,2009/01-2017/05,Austrian Standards Institute,Austrian Standards Institute,n,n
"Hill, Paul B.",Wikipedia,Mitglied im Beschwerderat (zweite Kammer) des Rates der Deutschen Markt- und Sozialforschung,Mitglied im Beschwerderat (zweite Kammer) des Rates der Deutschen Markt- und Sozialforschung,2009/01-2017/05,Rat der Deutschen Markt- und Sozialforschung,Beschwerderat,n,n
"Hill, Paul B.",Wikipedia,Vorsitzender des Kuratoriums der GESIS – Leibniz-Institut für Sozialwissenschaften,Vorsitzender des Kuratoriums der GESIS – Leibniz-Institut für Sozialwissenschaften,2013/07-2017/05,GESIS - Leibniz-Institut für Sozialwissenschaften,Kuratorium,n,n
"Hill, Paul B.",RWTH Aachen,Prodekan für Forschung,Prodekan für Forschung,2013/10-2017/05,RWTH Aachen,Philosophische Fakultät,RWTH Aachen,3189
"Hill, Paul B.",RWTH Aachen,Sprecher der Professoren,Sprecher der Professoren,2014/10-2017/05,RWTH Aachen,n,RWTH Aachen,3189
"Hill, Paul B.",Wikipedia,Prodekan für Forschung,Prodekan für Forschung,2004-2006,RWTH Aachen,Philosophische Fakultät,RWTH Aachen,3189
"Hill, Paul B.",Wikipedia,Dekan,Dekan,2006-2010,RWTH Aachen,Philosophische Fakultät,RWTH Aachen,3189
"Hill, Paul B.",Wikipedia,Prodekan für Forschung,Prodekan für Forschung,2013/10,RWTH Aachen,Philosophische Fakultät,RWTH Aachen,3189
"Hill, Paul B.",Wikipedia,Sprecher der Professoren,Sprecher der Professoren,2014/10-2017,RWTH Aachen,RWTH Aachen,RWTH Aachen,3189
"Hill, Paul B.",RWTH Aachen,Prodekan für Forschung,Prodekan für Forschung,2004-2006,RWTH Aachen,Philosophische Fakultät,RWTH Aachen ,3189
"Hill, Paul B.",RWTH Aachen,Dekan,Dekan,2006-2010,RWTH Aachen,Philosophische Fakultät,RWTH Aachen ,3189
"Hill, Paul B.",Wikipedia,Berufung zum Universitätsprofessor,Berufung zum Universitätsprofessor,1997,RWTH Aachen,"Soziologie, Schwerpunkt empirische Sozialforschung","RWTH Aachen, Soziologie, Schwerpunkt empirische Sozialforschung",21432
"Hill, Paul B.",Wikipedia,Akademischer Oberrat,Akademischer Oberrat,1990-1997,Universität Trier,Soziologie,Universität Trier,8741
"Hill, Paul B.",RWTH Aachen,Akademischer Oberrat,Akademischer Oberrat,1990-1997,Universität Trier, Soziologie,"Universität Trier, Soziologie",8741
"Hochman, Oshrat",linkedin,Scientific Director,n,2015/10- ,"GESIS Leibniz-Institut fur Sozialwissenschaften in Koln: Koln, Nordrhein-Westfalen, Germany",Abteilung Dauerbeobachtung der Gesellschaft,"GESIS - Leibniz-Institut für Sozialwissenschaften Abt. Dauerbeobachtung der Gesellschaft, Kompetenzzentrum Frauen in Wissenschaft und Forschung (Köln)",150
"Hochman, Oshrat",linkedin,Lecturer & Researcher,n,2012/07-2015/09,Ruppin Academic Center,,n,n
"Hochman, Oshrat",linkedin,Post Doctorate,n,2011/01-2012/08,Tel Aviv University ,,Tel Aviv University (Tel Aviv),3203
"Hochman, Oshrat",linkedin,PhD,Sociology,2007-2010,Universität Mannheim,,Universität Mannheim (Mannheim),3337
"Hochman, Oshrat",linkedin,Studium ,Bachelor Sociology,,University of Haifa,,University of Haifa (Haifa),14973
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,"Employment ",Temporary Professorship,2016/04-2016/09,University of Konstanz,Department of History and Sociology,"FB Geschichte und Soziologie Fach Soziologie
Geisteswissenschaftliche Sektion (Konstanz)
Universität Konstanz (Konstanz)",5581
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,Professional Service ,Member of the Scientific Advisory Board ,2016 – date ," GESIS-Leibniz Institute
for the Social Sciences",n,GESIS - Leibniz-Institut für Sozialwissenschaften (Mannheim),10581
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,Education,BA in European Business Studies,1996 – 2000, Fachhochschule Regensburg,n,n,n
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,Education,BA in European Business Studies,1996 – 2000,"Sup de Co La Rochelle, France ",n,n,n
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,Professional Service ,"Founding member of the scientific committee for the international Panel
Survey Methods Workshop ",2007 – date ,n,n,n,n
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,Professional Service ,"Member of the U.S. National Academy of Sciences planning committee on
Developing a Methodological Research Program for Longitudinal Studies",2017,U.S. National Academy of Sciences,n,n,n
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,Professional Service ,Member of the Scientific Advisory Board of Statistics Sweden ,2017 – date , Scientific Advisory Board of Statistics Sweden ,n,"Statistics Sweden, Stockholm",727466
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,Education,Post-Graduate Diploma in Economics,2000 – 2001 ,University of Essex,n,University of Essex Colchester,12141
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,Education,MSc in Economics,2001 – 2002,University of Essex ,n,University of Essex Colchester,12141
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,Education,PhD in Applied Social and Economic Research,2003 – 2008 ,University of Essex ,n,University of Essex Colchester,12141
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,"Employment ",Research Officer,2003 – 2007, University of Essex,ISER,University of Essex Colchester,12141
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,"Employment ",Research Fellow,2007 – 2012, University of Essex,ISER,University of Essex Colchester,12141
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,"Employment ",Research Director,2011 – date , University of Essex,ISER,University of Essex Colchester,12141
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,"Employment ",Senior Research Fellow,2012 – 2016 , University of Essex,ISER,University of Essex Colchester,12141
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,"Employment ",Associate Director of Innovations,2015 – date , University of Essex,ISER,University of Essex Colchester,12141
"Jäckle, Annette",https://www.iser.essex.ac.uk/people/aejack,"Employment ",Professor of Survey Methodology,2016 – date , University of Essex,ISER,University of Essex Colchester,12141
"Jann, Ben",Universität Bern,Student research assistant of Prof. Dr. Ruth Meyer Schweizer,Student research assistant of Prof. Dr. Ruth Meyer Schweizer,1996/07 – 1996/10,Universität Bern,Institute of Sociology,Department Sozialwissenschaften Institut für Soziologie (Bern),8563
"Jann, Ben",Universität Bern,Research assistant,"project “Working conditions, work orientation,
and labor market participation” (funded by the Swiss National Science
Foundation as part of the Swiss Priority Program “Switzerland Towards
the Future”)",1997/09 – 2002/06,Universität Bern,Institute of Sociology,Department Sozialwissenschaften Institut für Soziologie (Bern),8563
"Jann, Ben",Universität Bern,Scientific assistant of Prof. Dr. Andreas Diekmann,Scientific assistant of Prof. Dr. Andreas Diekmann,1998/09 – 2003/03,Universität Bern,Institute of Sociology,Department Sozialwissenschaften Institut für Soziologie (Bern),8563
"Jann, Ben",Universität Bern,Member of the search committee for the Professorship in Political Science,Academic self-administration,2011/01–2011/04,Universität Bern,Area: political sociology,Department Sozialwissenschaften Institut für Soziologie (Bern),8563
